Day;Phase;New_cases;Theoretical cases;;a0;a1;b1;a2;b2;a3;b3;a4;b4;a5;b5;a6;b6;a7;b7;a8;b8;a9;b9
231;1.9882408300801158;37867;38683.32767625435;;1.0;-0.4054257283599972;0.9141279881853338;-0.6712599575675315;-0.7412220108485957;0.9497178427914316;-0.3131070409358266;-0.0988201387328716;0.9951053111006976;-0.8695893893466112;-0.4937755501599769;0.8039279618328212;-0.5947266869607635;0.2177232303965317;0.9760105506323684;-0.980469160361632;-0.1966728897935766;0.5772916165517263;-0.8165380514459167
238;2.0484905522037553;39230;36289.58207596196;;1.0;-0.4597327394521039;0.8880573226294932;-0.5772916165517278;-0.8165380514459157;0.9905324521322226;-0.137278772113266;-0.3334687789181857;0.942761143390421;-0.6839194216246113;-0.7295575540864868;0.962309077454148;-0.271958157534108;-0.2008905551306328;0.9796136916454904;-0.7775971469736283;-0.6287628145958327;0.9158642882672864;-0.4014879892059749
245;2.1087402743273955;38873;34561.884921126475;;1.0;-0.5123714121284236;0.858763958275803;-0.4749510720670502;-0.8800122039735356;0.99907411510223;0.0430222330045306;-0.5488429582847194;0.8359254794186368;-0.4366512319560636;-0.8996308696522435;0.9962981749346076;0.0859647987374468;-0.5842981736283688;0.8115390590073608;-0.3975428142825554;-0.917583626059394;0.99167731989929;0.1287481774525813
252;2.1689899964510353;35339;33673.32973068256;;1.0;-0.5631507242749186;0.8263541987239096;-0.3657225234972692;-0.9307239310379792;0.9750645322571948;0.2219215130041654;-0.7324940716135787;0.6807734094770164;-0.1500553983446528;-0.9886775902323404;0.901501684131884;0.432775592550431;-0.865307254363206;0.5012418134457758;0.0730951298980772;-0.9973249731081556;0.782980103677063;0.6220467484408673
259;2.229239718574675;29659;33625.84884685498;;1.0;-0.6118864012687243;0.7909456567567773;-0.2511900638848195;-0.9679377830240642;0.9192859697186108;0.3935902766564663;-0.8738071036110805;0.4862727071086906;0.150055398344652;-0.9886775902323404;0.6901733882429725;0.7236440382959118;-0.994670819911521;0.1031016974474358;0.5270777086423712;-0.8498170915275285;0.3496474552512296;0.9368813462954312
266;2.289489440698315;33716;34271.858332656484;;1.0;-0.6584015846980488;0.7526668275320085;-0.1330147065341963;-0.9911140639934546;0.8335557718385702;0.5524353131676191;-0.9646141756912432;0.2636654927280081;0.4366512319560628;-0.8996308696522439;0.3896304495307892;0.920971287716634;-0.9497178427914322;-0.3131070409358249;0.8609610158889934;-0.5086709438521061;-0.183998351657678;0.9829265519799826
273;2.349739162821955;32636;35372.94626275968;;1.0;-0.702527474169157;0.7116566222817746;-0.0129102960750088;-0.999916658654738;0.7206671495538606;0.693281226886978;-0.9996666485105112;0.0258184402271324;0.6839194216246106;-0.7295575540864875;0.0387222808921729;0.9992500112396836;-0.7383263540031056;-0.6744436188329463;0.998666816288476;-0.0516196672232528;-0.6648553979642868;0.746972087696555
280;2.409988884945595;33071;36681.56857008699;;1.0;-0.7441039398713607;0.6680638642135335;0.107381346664163;-0.994217906893952;0.5842981736283681;0.8115390590073613;-0.9769384927771816;-0.2135209154397961;0.8695893893466108;-0.4937755501599776;-0.3171912885891069;0.9483615800121712;-0.3975428142825554;-0.917583626059394;0.9088176373395028;0.4171936026123169;-0.9549667548552552;0.2967128192734906
287;2.4702386070692346;38778;38025.39017986252;;1.0;-0.7829801036770628;0.6220467484408676;0.226115685508288;-0.9741004551724206;0.4288919379124834;0.9033558023246844;-0.8977433935342339;-0.4405187843504946;0.9769384927771816;-0.2135209154397969;-0.6321034111873489;0.7748840413670405;0.0129102960750088;-0.999916658654738;0.611886401268725;0.7909456567567767;-0.9711000518829508;-0.2386727660059489
294;2.530488329192875;44301;39372.295456695705;;1.0;-0.8190148866680801;0.5737722679043246;0.341570769167856;-0.9398560579418952;0.259511797069799;0.9657399376548552;-0.7666588193001584;-0.6420547132365644;0.9962981749346076;0.0859647987374468;-0.8653072543632069;0.5012418134457742;0.4211008707960919;-0.9070138128026348;0.1755314904214261;0.9844738167520926;-0.7086266782644587;-0.7055836101071788
